local_path,asset_title,province_id,culture_id,creator,source_owner,source_page_url,license_name,license_url,accessed_at,transformations,verification_status,notes
public/assets/cultures/di-yogyakarta/batik-kawung-yogyakarta.webp,"Batikpatroon, 'Kawung kemplung', voor 1891",di-yogyakarta,batik-kawung-yogyakarta,Unknown author,National Museum of World Cultures,"https://commons.wikimedia.org/wiki/File:Collectie_NMvWereldculturen,_RV-847-76,_Batikpatroon,_%27Kawung_kemplung%27,_voor_1891.jpg",Public Domain Mark 1.0,https://creativecommons.org/publicdomain/mark/1.0/,2026-09-05,Resize proporsional menjadi 1400 × 1399 piksel dan konversi JPEG ke WebP,license_verified,
public/assets/provinces/di-yogyakarta/hero.webp,Tugu Jogja Landmark Kota Jogja,di-yogyakarta,,Herusutimbul,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Tugu_Jogja_Landmark_Kota_Jogja.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,2026-09-06,"Crop tengah proporsional 16:9, resize 1600x900 piksel, konversi JPEG ke WebP (encoder PIL, quality 90, method 6)",license_verified,hasil turunan tetap mengikuti CC BY-SA 4.0; pengecualian target ukuran: file di bawah 150 KB karena detail langit luas memicu kompresi tinggi yang sudah optimal secara visual tanpa artefak berlebihan.
